City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sao tome,0.3365,6.7273,26.45,81,95,2.1,ST,1698523623
1,mount pearl,47.5166,-52.7813,13.41,95,99,1.34,CA,1698523900
2,pacific grove,36.6177,-121.9166,21.42,62,0,5.81,US,1698523901
3,bernardo de irigoyen,-26.2552,-53.6458,19.06,98,99,2.48,AR,1698523901
4,grytviken,-54.2811,-36.5092,-0.43,97,100,1.11,GS,1698523625
5,fort st. john,56.2499,-120.8529,-0.2,52,96,1.28,CA,1698523625
6,blackmans bay,-43.0167,147.3167,8.18,80,99,0.45,AU,1698523902
7,waitangi,-43.9535,-176.5597,11.57,81,42,3.13,NZ,1698523626
8,nar'yan-mar,67.6713,53.087,-12.16,90,100,3.58,RU,1698523450
9,tura,25.5198,90.2201,19.21,84,0,1.79,IN,1698523859
10,udachny,66.4167,112.4,-19.33,98,47,3.61,RU,1698523903
11,darwin,-12.4611,130.8418,25.99,86,8,1.54,AU,1698523653
12,verkhniye sergi,56.6469,59.5556,-3.69,92,98,4.93,RU,1698523904
13,bilibino,68.0546,166.4372,-22.03,97,42,1.21,RU,1698523905
14,colonia,50.9333,6.95,13.01,88,20,6.17,DE,1698523373
15,ventspils,57.3894,21.5606,2.96,93,75,2.06,LV,1698523905
16,port-aux-francais,-49.35,70.2167,5.0,98,99,8.85,TF,1698523631
17,jamestown,42.097,-79.2353,14.18,78,100,3.6,US,1698523380
18,port moresby,-9.4431,147.1797,23.68,100,75,2.57,PG,1698523906
19,adamstown,-25.066,-130.1015,22.81,81,99,6.66,PN,1698523907
20,edinburgh of the seven seas,-37.0676,-12.3116,14.0,88,100,9.11,SH,1698523907
21,port lincoln,-34.7333,135.8667,9.29,80,2,2.13,AU,1698523496
22,keflavik,64.0049,-22.5624,4.24,75,0,1.54,IS,1698523418
23,namibe,-15.1961,12.1522,20.93,82,61,2.91,AO,1698523908
24,xiazhen,34.8022,117.1117,16.02,53,0,3.03,CN,1698523909
25,sao joao da barra,-21.6403,-41.0511,27.05,89,99,8.34,BR,1698523414
26,fisterra,42.9049,-9.2629,15.97,76,100,10.2,ES,1698523909
27,bikenibeu village,1.3673,173.1241,29.98,74,20,2.06,KI,1698523910
28,minas de marcona,-15.2119,-75.1103,17.73,72,76,6.28,PE,1698523473
29,ushuaia,-54.8,-68.3,6.81,42,0,3.6,AR,1698523182
30,thompson,55.7435,-97.8558,-3.91,93,75,3.09,CA,1698523490
31,bethel,41.3712,-73.414,26.61,62,75,4.12,US,1698523829
32,zinjibar,13.1287,45.3807,28.09,73,44,6.87,YE,1698523911
33,tiksi,71.6872,128.8694,-11.85,94,100,3.3,RU,1698523839
34,invercargill,-46.4,168.35,9.45,89,61,1.79,NZ,1698523912
35,avarua,-21.2078,-159.775,24.03,64,75,4.63,CK,1698523407
36,vilyuchinsk,52.9306,158.4028,3.85,75,100,1.77,RU,1698523913
37,fortuna,40.5982,-124.1573,14.96,72,0,1.34,US,1698523618
